"ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"0023606924","AuthorsNamesList","schaefer,marcus; johnsonbaugh,richard","a1books","null"
"0023606924","AuthorsNamesList","schaefer,marcus; johnsonbaugh,richard","alinonline","null"
"0023606924","AuthorsNamesList","schaefer,marcus; johnsonbaugh,richard","california textbooks","null"
"0023606924","AuthorsNamesList","schaefer,marcus; johnsonbaugh,richard","cobain llc","null"
"0023606924","AuthorsNamesList","johnsonbaugh,richard","deepak sachdeva","null"
"0023606924","AuthorsNamesList","schaefer,marcus; johnsonbaugh,richard","ecampus.com","null"
"0023606924","AuthorsNamesList","schaefer,marcus; johnsonbaugh,richard","govind garg","null"
"0023606924","AuthorsNamesList","schaefer,marcus; johnsonbaugh,richard","htbook","null"
"0023606924","AuthorsNamesList","schaefer,marcus; johnsonbaugh,richard","indoo.com","null"
"0023606924","AuthorsNamesList","johnsonbaugh,richard","limelight bookshop","null"
"0023606924","AuthorsNamesList","johnsonbaugh,richard","opoe-abe books","null"
"0023606924","AuthorsNamesList","schaefer,marcus; johnsonbaugh,richard","papamedia.com","null"
"0023606924","AuthorsNamesList","schaefer,marcus; johnsonbaugh,richard","sandy chong","null"
"0023606924","AuthorsNamesList","schaefer,marcus; johnsonbaugh,richard","sunmark store","null"
"0023606924","AuthorsNamesList","johnsonbaugh,richard","technischer overseas pvt. ltd.","null"
"0023606924","AuthorsNamesList","johnsonbaugh,richard","textbooksnow","null"
"0023606924","AuthorsNamesList","johnsonbaugh,richard","textbookxdotcom","null"
"0080439977","AuthorsNamesList","edelstein,","caiman","null"
"0080439977","AuthorsNamesList","khalil,tarek; lefebvre,louis; mason,robert","enjoystudy","null"
"0080439977","AuthorsNamesList","edelstein,","limelight bookshop","null"
"0080439977","AuthorsNamesList","khalil,tarek","papamedia.com","null"
"0080439977","AuthorsNamesList","khalil,tarek; lefebvre,louis","paperbackshop-us","null"
"0080439977","AuthorsNamesList","edelstein,; khalil,tarek; lefebvre,louis","quartermelon","null"
"0080439977","AuthorsNamesList","khalil,tarek; lefebvre,louis; mason,robert","revaluation books","null"
"0120121484","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121484","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"0120121484","AuthorsNamesList","delort,","librairie la canopee. inc.","null"
"0120121484","AuthorsNamesList","press,academic","papamedia.com","null"
"0120121484","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"0120121484","AuthorsNamesList","zelkowitz,marvin","quartermelon","null"
"0120121484","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120121506","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121506","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"0120121506","AuthorsNamesList","sotto,del","librairie la canopee. inc.","null"
"0120121506","AuthorsNamesList","zelkowitz,marvin","livrenoir","null"
"0120121506","AuthorsNamesList","press,academic","papamedia.com","null"
"0120121506","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"0120121506","AuthorsNamesList","zelkowitz,marvin","quartermelon","null"
"0120121506","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120121514","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121514","AuthorsNamesList","delvolve,","librairie la canopee. inc.","null"
"0120121514","AuthorsNamesList","zelkowitz,marvin","livrenoir","null"
"0120121514","AuthorsNamesList","press,academic","papamedia.com","null"
"0120121522","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121522","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"0120121522","AuthorsNamesList","zelkowitz,marvin","free postage ! @thebookcompany","null"
"0120121522","AuthorsNamesList","demain,","librairie la canopee. inc.","null"
"0120121522","AuthorsNamesList","zelkowitz,marvin","limelight bookshop","null"
"0120121522","AuthorsNamesList","zelkowitz,marvin","papamedia.com","null"
"0120121522","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"0120121522","AuthorsNamesList","zelkowitz,marvin","quartermelon","null"
"0120121522","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120121522","AuthorsNamesList","zelkowitz,marvin","thebookcom","null"
"0120121549","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121549","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"0120121549","AuthorsNamesList","zelkowitz,marvin","free postage ! @thebookcompany","null"
"0120121549","AuthorsNamesList","dempsey,","librairie la canopee. inc.","null"
"0120121549","AuthorsNamesList","zelkowitz,marvin","limelight bookshop","null"
"0120121549","AuthorsNamesList","press,academic","papamedia.com","null"
"0120121549","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"0120121549","AuthorsNamesList","zelkowitz,marvin","quartermelon","null"
"0120121549","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120121549","AuthorsNamesList","zelkowitz,marvin","thebookcom","null"
"0120121557","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121557","AuthorsNamesList","zelkowitz,marvin","elephantbooks.com","null"
"0120121557","AuthorsNamesList","denina,","librairie la canopee. inc.","null"
"0120121557","AuthorsNamesList","zelkowitz,marvin","limelight bookshop","null"
"0120121557","AuthorsNamesList","press,academic","papamedia.com","null"
"0120121557","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"0120121557","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120121565","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121565","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"0120121565","AuthorsNamesList","zelkowitz,marvin","free postage ! @thebookcompany","null"
"0120121565","AuthorsNamesList","depery,","librairie la canopee. inc.","null"
"0120121565","AuthorsNamesList","zelkowitz,marvin","limelight bookshop","null"
"0120121565","AuthorsNamesList","zelkowitz,marvin","livrenoir","null"
"0120121565","AuthorsNamesList","zelkowitz,marvin","papamedia.com","null"
