,flight_number,scheduled_departure,actual_departure,departure_gate,scheduled_arrival,actual_arrival,arrival_gate
0,AA-1221-MCO-ORD,2011-12-30 20:00:00,2011-12-30 20:21:00,15,2011-12-30 21:50:00,2011-12-30 22:00:00,H10
1,AA-4307-ORD-DTW,2011-12-30 18:45:00,2011-12-30 18:42:00,G20,2011-12-30 21:10:00,2011-12-30 20:58:00,D28
2,AA-616-DFW-DTW,2011-12-30 09:05:00,2011-12-30 09:01:00,C17,2011-12-30 12:35:00,2011-12-30 12:31:00,D32
3,AA-431-MIA-SFO,2011-12-30 08:35:00,2011-12-30 09:10:00,D40,2011-12-30 11:50:00,2011-12-30 00:00:00,58B
4,AA-3756-ORD-SLC,2011-12-30 12:15:00,2011-12-30 12:11:00,G19,2011-12-30 14:45:00,2011-12-30 14:45:00,A3
5,AA-2050-ORD-MIA,2011-12-30 10:40:00,2011-12-30 12:08:00,K15,2011-12-30 14:45:00,2011-12-30 15:54:00,D2
6,AA-3804-PHL-ORD,2011-12-30 14:35:00,2011-12-30 15:20:00,A7,2011-12-30 16:05:00,2011-12-30 16:21:00,G18
7,AA-1664-MIA-ATL,2011-12-30 10:15:00,2011-12-30 10:11:00,D4,2011-12-30 12:10:00,2011-12-30 11:58:00,T11
8,AA-789-ORD-DEN,2011-12-30 13:05:00,2011-12-30 13:01:00,K7,2011-12-30 14:35:00,2011-12-30 14:36:00,A49
9,AA-1733-ORD-PHX,2011-12-30 19:45:00,2011-12-30 20:03:00,H16,2011-12-30 22:30:00,2011-12-30 00:00:00,6
10,AA-1733-ORD-PHX,2011-12-30 19:45:00,2011-12-30 20:03:00,H16,2011-12-30 22:30:00,2011-12-30 00:00:00,6
11,AA-4277-CVG-JFK,2011-12-30 12:10:00,2011-12-30 12:01:00,1,2011-12-30 14:15:00,2011-12-30 13:51:00,31A
12,AA-2312-DFW-DTW,2011-12-30 20:25:00,2011-12-30 00:00:00,C30,2011-12-30 23:50:00,2011-12-30 00:00:00,D32
13,AA-85-JFK-SFO,2011-12-30 15:05:00,2011-12-30 15:06:00,5,2011-12-30 18:30:00,2011-12-30 18:47:00,58B
14,AA-404-MIA-MCO,2011-12-30 06:45:00,2011-12-30 06:46:00,E7,2011-12-30 07:45:00,2011-12-30 07:58:00,14
15,AA-2268-PHX-ORD,2011-12-30 07:15:00,2011-12-30 07:13:00,6,2011-12-30 11:35:00,2011-12-30 11:42:00,K8
16,AA-4344-ORD-DTW,2011-12-30 11:45:00,2011-12-30 11:51:00,G11,2011-12-30 14:00:00,2011-12-30 14:13:00,D28
17,AA-484-DFW-MIA,2011-12-30 16:15:00,2011-12-30 16:30:00,C4,2011-12-30 19:55:00,2011-12-30 20:13:00,D15
18,AA-3979-CVG-ORD,2011-12-30 07:30:00,2011-12-30 07:29:00,3,2011-12-30 08:00:00,2011-12-30 07:41:00,H1A
19,AA-3063-SLC-LAX,,2011-12-30 00:00:00,A3,,2011-12-30 00:00:00,44H
20,AA-3859-IAH-ORD,2011-12-30 07:10:00,2011-12-30 07:03:00,A29,2011-12-30 09:40:00,2011-12-30 09:33:00,G6A
